Date,Close
2010-01-01,22.3299
2010-02-01,23.74
2010-03-01,24.8101
2010-04-01,25.31
2010-05-01,21.9201
2010-06-01,19.51
2010-07-01,22.0901
2010-08-01,21.35
2010-09-01,23.62
2010-10-01,25.42
2010-11-01,25.9599
2010-12-01,29.1799
2011-01-01,32.5199
2011-02-01,33.13
2011-03-01,37.5401
2011-04-01,38.66
2011-05-01,35.46
2011-06-01,34.1
2011-07-01,33.67
2011-08-01,29.63
2011-09-01,22.6799
2011-10-01,26.8299
2011-11-01,23.42
2011-12-01,22.74
2012-01-01,27.76
2012-02-01,28.49
2012-03-01,26.1
2012-04-01,24.8599
2012-05-01,20.32
2012-06-01,21.27
2012-07-01,21.68
2012-08-01,21.38
2012-09-01,22.75
2012-10-01,22.7
2012-11-01,22.1501
2012-12-01,23.79
2013-01-01,25.4499
2013-02-01,26.9
2013-03-01,27.43
2013-04-01,30.8901
2013-05-01,31.38
2013-06-01,26.22
2013-07-01,26.8299
2013-08-01,24.9301
2013-09-01,27.24
2013-10-01,28.34
2013-11-01,28.66
2013-12-01,28.34
2014-01-01,27.33
2014-02-01,27.94
2014-03-01,28.0001
2014-04-01,25.52
2014-05-01,25.65
2014-06-01,26.22
2014-07-01,24.71
2014-08-01,24.9301
2014-09-01,23.8399
2014-10-01,23.78
2014-11-01,23.13
2014-12-01,22.42
2015-01-01,22.67
2015-02-01,23.7301
2015-03-01,22.2901
2015-04-01,23.77
2015-05-01,24.63
2015-06-01,24.28
2015-07-01,23.52
2015-08-01,21.46
2015-09-01,20.26
2015-10-01,20.01
2015-11-01,17.68
2015-12-01,17.39
2016-01-01,16.56
2016-02-01,14.4501
2016-03-01,16.17
2016-04-01,16.6799
2016-05-01,18.1001
2016-06-01,17.33
2016-07-01,18.26
2016-08-01,19.1501
2016-09-01,19.04
2016-10-01,18.6701
2016-11-01,22.0201
2016-12-01,23.25
2017-01-01,23.8501
2017-02-01,26.6201
2017-03-01,26.0
2017-04-01,25.39
2017-05-01,24.39
2017-06-01,26.16
2017-07-01,26.03
2017-08-01,23.68
2017-09-01,25.25
2017-10-01,25.3
2017-11-01,26.31
2017-12-01,26.4901
2018-01-01,27.0701
2018-02-01,23.99
2018-03-01,22.73
2018-04-01,24.04
2018-05-01,21.8799
2018-06-01,22.74
2018-07-01,24.25
2018-08-01,23.2199
2018-09-01,21.96
2018-10-01,21.47
2018-11-01,21.85
2018-12-01,17.3599
2019-01-01,20.81
2019-02-01,20.2699
2019-03-01,18.79
2019-04-01,20.57
2019-05-01,17.67
2019-06-01,19.23
2019-07-01,21.33
2019-08-01,18.6399
2019-09-01,18.4
2019-10-01,18.6699
2019-11-01,20.9
2019-12-01,21.37
2020-01-01,21.64
2020-02-01,19.71
2020-03-01,13.67
2020-04-01,13.72
2020-05-01,14.65
2020-06-01,15.55
2020-07-01,16.2
2020-08-01,17.54
2020-09-01,18.0
2020-10-01,19.51
2020-11-01,22.73
2020-12-01,24.6
2021-01-01,23.35
2021-02-01,29.04
2021-03-01,30.1
2021-04-01,32.51
2021-05-01,32.13
2021-06-01,34.2
2021-07-01,33.19
2021-08-01,36.96
2021-09-01,37.13
2021-10-01,43.0
2021-11-01,37.58
2021-12-01,38.8
2022-01-01,36.64
2022-02-01,35.54
2022-03-01,32.85
2022-04-01,30.76
2022-05-01,33.02
2022-06-01,27.62
2022-07-01,32.57
2022-08-01,32.09
2022-09-01,29.5
2022-10-01,34.4101
2022-11-01,37.99
2022-12-01,34.28
2023-01-01,39.28
2023-02-01,37.79
2023-03-01,31.74
2023-04-01,32.03
2023-05-01,30.07
2023-06-01,33.17
2023-07-01,36.79
2023-08-01,35.69
2023-09-01,36.63
2023-10-01,32.18
2023-11-01,35.44
2023-12-01,40.41
2024-01-01,40.76
2024-02-01,41.82
2024-03-01,44.1
2024-04-01,43.06
2024-05-01,46.52
2024-06-01,49.76
2024-07-01,58.47
2024-08-01,59.95
2024-09-01,61.55
2024-10-01,63.98
2024-11-01,79.14
2024-12-01,78.4
2025-01-01,76.89
2025-02-01,66.2
2025-03-01,53.57
2025-04-01,46.73
2025-05-01,48.6
2025-06-01,54.69
2025-07-01,57.66
2025-08-01,64.85
2025-09-01,65.42
2025-10-01,52.83
2025-11-01,57.56
2025-12-01,61.97
2026-01-01,61.18
2026-02-01,44.4
2026-03-01,41.27
2026-04-01,48.22
2026-05-01,52.72
2026-06-01,49.98
2026-07-01,54.6
2026-08-01,55.86
