year,month,close
2012,1,8.4400
2012,2,7.4100
2012,3,7.5900
2012,4,10.2600
2012,5,13.2200
2012,6,13.3300
2012,7,11.4600
2012,8,10.6600
2012,9,10.4600
2012,10,12.1800
2012,11,12.8900
2012,12,13.5000
2013,1,14.2800
2013,2,13.4300
2013,3,16.9700
2013,4,16.9000
2013,5,17.5700
2013,6,16.4200
2013,7,19.3500
2013,8,16.1600
2013,9,18.9600
2013,10,21.9700
2013,11,23.4800
2013,12,25.2500
2014,1,33.5500
2014,2,36.9300
2014,3,36.6000
2014,4,35.0700
2014,5,40.1600
2014,6,42.9600
2014,7,38.8500
2014,8,38.8800
2014,9,35.4800
2014,10,41.3500
2014,11,48.5300
2014,12,53.6300
2015,1,49.0800
2015,2,47.9000
2015,3,52.7800
2015,4,48.2900
2015,5,42.3700
2015,6,39.9400
2015,7,40.1000
2015,8,38.9800
2015,9,38.8300
2015,10,46.2200
2015,11,41.2600
2015,12,42.3500
2016,1,38.9900
2016,2,41.0000
2016,3,41.0100
2016,4,34.6900
2016,5,31.9100
2016,6,28.3100
2016,7,35.5000
2016,8,36.3000
2016,9,36.6100
2016,10,40.6000
2016,11,46.4400
2016,12,46.6900
2017,1,44.2500
2017,2,46.3600
2017,3,42.3000
2017,4,42.6200
2017,5,48.4100
2017,6,50.3200
2017,7,50.4400
2017,8,44.7400
2017,9,47.4900
2017,10,46.8200
2017,11,50.4900
2017,12,52.0300
2018,1,54.3200
2018,2,54.2500
2018,3,51.9600
2018,4,42.9300
2018,5,43.5400
2018,6,37.9600
2018,7,39.5400
2018,8,40.4800
2018,9,41.3300
2018,10,35.0800
2018,11,40.1600
2018,12,32.1100
2019,1,35.7700
2019,2,35.6300
2019,3,31.7600
2019,4,34.1800
2019,5,27.2300
2019,6,32.6100
2019,7,30.5100
2019,8,26.3100
2019,9,26.9700
2019,10,30.0600
2019,11,28.7400
2019,12,28.6800
2020,1,26.8400
2020,2,19.0500
2020,3,12.1900
2020,4,12.0100
2020,5,10.5000
2020,6,13.0700
2020,7,11.1200
2020,8,13.0500
2020,9,12.2900
2020,10,11.2800
2020,11,14.1300
2020,12,15.7700
2021,1,17.1700
2021,2,20.9400
2021,3,23.9000
2021,4,21.7200
2021,5,24.2400
2021,6,21.2100
2021,7,20.3800
2021,8,19.9400
2021,9,20.5200
2021,10,19.2000
2021,11,17.6900
2021,12,17.9600
2022,1,16.4700
2022,2,17.2500
2022,3,18.2500
2022,4,18.7700
2022,5,17.8700
2022,6,12.6800
2022,7,13.7100
2022,8,12.9900
2022,9,12.0400
2022,10,14.1800
2022,11,14.4300
2022,12,12.7200
2023,1,16.1400
2023,2,15.9800
2023,3,14.7500
2023,4,13.6400
2023,5,14.7800
2023,6,17.9400
2023,7,16.7500
2023,8,14.7300
2023,9,12.8100
2023,10,11.1500
2023,11,12.4300
2023,12,13.7400
2024,1,14.2300
2024,2,15.6800
2024,3,15.3500
2024,4,13.5100
2024,5,11.5000
2024,6,11.3300
2024,7,10.6400
2024,8,10.6200
2024,9,11.2400
2024,10,13.4000
2024,11,14.5200
2024,12,17.4300
2025,1,16.9200
2025,2,14.3500
2025,3,10.5500
2025,4,9.9500
2025,5,11.4100
2025,6,11.2200
2025,7,11.4900
2025,8,13.3700
2025,9,11.2400
2025,10,13.1300
2025,11,14.0500
2025,12,15.3300
2026,1,13.3000
2026,2,13.0700
2026,3,10.7400
2026,4,11.7100
2026,5,14.6400
2026,6,18.0700
2026,7,15.2700
2026,8,14.9300
