fiscal_year,intraday_low,intraday_high
2012,304.31,399.1
2013,341.98,452.185
2014,408.9,561.62
2015,491.93,754.9
2016,681.01,819.54
2017,491.13,813.7
2018,531.2,797.89
2019,705.01,1186.6
2020,684.91,1274.407
2021,1085.85,1666.63
2022,1503.3,2362.24
2023,2050.21,2750.0
2024,2375.35,3256.37
2025,2898.57,4229.6802
