Date,Close
2010-01-01,155.03
2010-02-01,165.93
2010-03-01,173.09
2010-04-01,185.01
2010-05-01,190.88
2010-06-01,193.22
2010-07-01,211.57
2010-08-01,209.78
2010-09-01,228.91
2010-10-01,237.63
2010-11-01,259.41
2010-12-01,272.59
2011-01-01,253.53
2011-02-01,257.95
2011-03-01,273.56
2011-04-01,282.38
2011-05-01,294.0
2011-06-01,294.85
2011-07-01,285.45
2011-08-01,307.0
2011-09-01,319.19
2011-10-01,323.59
2011-11-01,328.38
2011-12-01,324.97
2012-01-01,347.88
2012-02-01,374.48
2012-03-01,371.8
2012-04-01,396.16
2012-05-01,380.26
2012-06-01,367.17
2012-07-01,375.23
2012-08-01,361.64
2012-09-01,369.67
2012-10-01,375.0
2012-11-01,383.77
2012-12-01,354.43
2013-01-01,369.7
2013-02-01,380.15
2013-03-01,396.77
2013-04-01,409.09
2013-05-01,408.83
2013-06-01,423.69
2013-07-01,448.58
2013-08-01,419.94
2013-09-01,422.73
2013-10-01,434.69
2013-11-01,461.6
2013-12-01,477.94
2014-01-01,495.06
2014-02-01,538.44
2014-03-01,537.1
2014-04-01,533.89
2014-05-01,532.5
2014-06-01,536.24
2014-07-01,517.03
2014-08-01,538.84
2014-09-01,509.66
2014-10-01,553.52
2014-11-01,577.71
2014-12-01,619.11
2015-01-01,596.96
2015-02-01,642.68
2015-03-01,682.16
2015-04-01,672.66
2015-05-01,673.62
2015-06-01,666.9
2015-07-01,700.94
2015-08-01,715.99
2015-09-01,723.83
2015-10-01,784.41
2015-11-01,783.77
2015-12-01,741.91
2016-01-01,767.39
2016-02-01,774.57
2016-03-01,796.69
2016-04-01,765.23
2016-05-01,762.2
2016-06-01,793.84
2016-07-01,813.97
2016-08-01,741.8
2016-09-01,768.34
2016-10-01,742.16
2016-11-01,783.18
2016-12-01,789.79
2017-01-01,724.98
2017-02-01,736.55
2017-03-01,723.05
2017-04-01,692.19
2017-05-01,605.92
2017-06-01,570.46
2017-07-01,539.82
2017-08-01,528.44
2017-09-01,595.11
2017-10-01,589.5
2017-11-01,686.76
2017-12-01,711.37
2018-01-01,765.44
2018-02-01,664.72
2018-03-01,648.69
2018-04-01,624.52
2018-05-01,649.32
2018-06-01,670.93
2018-07-01,705.53
2018-08-01,766.88
2018-09-01,775.7
2018-10-01,733.47
2018-11-01,809.07
2018-12-01,838.34
2019-01-01,847.34
2019-02-01,938.97
2019-03-01,1024.12
2019-04-01,1028.31
2019-05-01,1027.11
2019-06-01,1099.47
2019-07-01,1123.04
2019-08-01,1101.69
2019-09-01,1084.62
2019-10-01,1144.38
2019-11-01,1177.92
2019-12-01,1191.31
2020-01-01,1057.96
2020-02-01,1032.51
2020-03-01,846.0
2020-04-01,1020.32
2020-05-01,1147.86
2020-06-01,1128.12
2020-07-01,1207.42
2020-08-01,1196.31
2020-09-01,1177.64
2020-10-01,1128.98
2020-11-01,1137.65
2020-12-01,1185.44
2021-01-01,1118.37
2021-02-01,1159.92
2021-03-01,1404.3
2021-04-01,1464.12
2021-05-01,1406.6
2021-06-01,1492.22
2021-07-01,1623.57
2021-08-01,1549.15
2021-09-01,1697.99
2021-10-01,1784.84
2021-11-01,1817.07
2021-12-01,2096.39
2022-01-01,1986.35
2022-02-01,1863.39
2022-03-01,2044.58
2022-04-01,1955.47
2022-05-01,2059.65
2022-06-01,2149.12
2022-07-01,2137.39
2022-08-01,2119.21
2022-09-01,2141.93
2022-10-01,2532.88
2022-11-01,2579.0
2022-12-01,2466.18
2023-01-01,2438.85
2023-02-01,2486.54
2023-03-01,2458.15
2023-04-01,2663.31
2023-05-01,2386.84
2023-06-01,2493.36
2023-07-01,2481.72
2023-08-01,2531.33
2023-09-01,2539.99
2023-10-01,2477.13
2023-11-01,2609.93
2023-12-01,2585.61
2024-01-01,2762.13
2024-02-01,3006.02
2024-03-01,3151.65
2024-04-01,2956.4
2024-05-01,2769.94
2024-06-01,2964.1
2024-07-01,3133.69
2024-08-01,3181.48
2024-09-01,3150.04
2024-10-01,3009.0
2024-11-01,3169.54
2024-12-01,3202.0
2025-01-01,3350.21
2025-02-01,3493.01
2025-03-01,3812.78
2025-04-01,3762.6001
2025-05-01,3733.04
2025-06-01,3712.23
2025-07-01,3768.3799
2025-08-01,4198.5298
2025-09-01,4290.2402
2025-10-01,3674.4299
2025-11-01,3954.3301
2025-12-01,3391.5
2026-01-01,3704.29
2026-02-01,3755.5801
2026-03-01,3377.78
2026-04-01,3704.03
2026-05-01,2935.1899
2026-06-01,3195.9399
2026-07-01,3016.25
2026-08-01,3040.3701
