fiscal_year,intraday_low,intraday_high
2012,66.82,77.83
2013,72.68,142.0
2014,116.32,144.57
2015,115.14,158.83
2016,102.1,160.07
2017,155.21,299.33
2018,292.47,394.28
2019,309.4,446.01
2020,89.0,349.95
2021,185.26,278.57
2022,113.02,229.67
2023,176.25,267.54
2024,137.03,258.59
2025,128.88,242.69
