fiscal_year,intraday_low,intraday_high
2012,24.7200,34.3000
2013,25.8400,36.4300
2014,29.8600,42.3500
2015,35.8200,46.7100
2016,33.1300,45.2400
2017,37.6200,46.9900
2018,43.7400,53.4800
2019,42.4000,55.5300
2020,39.7100,60.5000
2021,50.9100,80.7200
2022,66.7200,106.3400
2023,60.7800,106.4900
2024,99.2600,132.7700
2025,117.3400,198.3100
2026,134.5700,345.7200
