fiscal_year,intraday_low,intraday_high
2012,19.58,29.79
2013,23.62,32.43
2014,20.96,28.72
2015,15.9301,25.39
2016,14.27,24.1699
2017,22.2299,27.34
2018,16.2,28.2999
2019,16.84,21.79
2020,11.2,24.67
2021,22.87,44.47
2022,25.88,41.49
2023,28.34,40.96
2024,38.77,82.04
2025,39.28,82.68
