fiscal_year,intraday_low,intraday_high
2013,12.7000,27.2000
2014,25.0600,54.6400
2015,34.1000,56.2000
2016,24.8500,50.6400
2017,39.2100,54.4800
2018,29.5900,59.0800
2019,24.2300,37.2300
2020,8.2500,30.7800
2021,14.7100,26.0900
2022,11.6500,21.4200
2023,10.8600,19.0800
2024,9.0700,18.2000
2025,8.5000,19.1000
2026,10.0900,18.7900
