fiscal_year,intraday_low,intraday_high
2014,150.5,199.21
2015,131.65,176.3
2016,116.9,169.95
2017,139.13,182.79
2018,105.94,171.13
2019,111.69,152.95
2020,90.56,158.75
2021,114.56,152.84
2022,115.55,153.21
2023,120.55,166.34
2024,157.89,239.35
2025,214.5,324.9
