fiscal_year,intraday_low,intraday_high
2012,18.7712,30.9984
2013,25.1068,47.95
2014,40.6912,55.1584
2015,39.6276,59.0606
2016,38.1608,64.0372
2017,58.3796,82.7196
2018,64.2508,89.1596
2019,65.4806,83.3068
2020,44.2914,89.1188
2021,74.4292,107.4916
2022,64.674,108.6264
2023,80.2228,143.2248
2024,127.2,213.4896
2025,163.8492,233.5765
