Date,Close
2012-05-01,29.6
2012-06-01,31.1
2012-07-01,21.71
2012-08-01,18.06
2012-09-01,21.66
2012-10-01,21.11
2012-11-01,28.0
2012-12-01,26.62
2013-01-01,30.98
2013-02-01,27.25
2013-03-01,25.58
2013-04-01,27.77
2013-05-01,24.35
2013-06-01,24.88
2013-07-01,36.8
2013-08-01,41.29
2013-09-01,50.23
2013-10-01,50.21
2013-11-01,47.01
2013-12-01,54.65
2014-01-01,62.57
2014-02-01,68.46
2014-03-01,60.24
2014-04-01,59.78
2014-05-01,63.3
2014-06-01,67.29
2014-07-01,72.65
2014-08-01,74.82
2014-09-01,79.04
2014-10-01,74.99
2014-11-01,77.7
2014-12-01,78.02
2015-01-01,75.91
2015-02-01,78.97
2015-03-01,82.22
2015-04-01,78.77
2015-05-01,79.19
2015-06-01,85.77
2015-07-01,94.01
2015-08-01,89.43
2015-09-01,89.9
2015-10-01,101.97
2015-11-01,104.24
2015-12-01,104.66
2016-01-01,112.21
2016-02-01,106.92
2016-03-01,114.1
2016-04-01,117.58
2016-05-01,118.81
2016-06-01,114.28
2016-07-01,123.94
2016-08-01,126.12
2016-09-01,128.27
2016-10-01,130.99
2016-11-01,118.42
2016-12-01,115.05
2017-01-01,130.32
2017-02-01,135.54
2017-03-01,142.05
2017-04-01,150.25
2017-05-01,151.46
2017-06-01,150.98
2017-07-01,169.25
2017-08-01,171.97
2017-09-01,170.87
2017-10-01,180.06
2017-11-01,177.18
2017-12-01,176.46
2018-01-01,186.89
2018-02-01,178.32
2018-03-01,159.79
2018-04-01,172.0
2018-05-01,191.78
2018-06-01,194.32
2018-07-01,172.58
2018-08-01,175.73
2018-09-01,164.46
2018-10-01,151.79
2018-11-01,140.61
2018-12-01,131.09
2019-01-01,166.69
2019-02-01,161.45
2019-03-01,166.69
2019-04-01,193.4
2019-05-01,177.47
2019-06-01,193.0
2019-07-01,194.23
2019-08-01,185.67
2019-09-01,178.08
2019-10-01,191.65
2019-11-01,201.64
2019-12-01,205.25
2020-01-01,201.91
2020-02-01,192.47
2020-03-01,166.8
2020-04-01,204.71
2020-05-01,225.09
2020-06-01,227.07
2020-07-01,253.67
2020-08-01,293.2
2020-09-01,261.9
2020-10-01,263.11
2020-11-01,276.97
2020-12-01,273.16
2021-01-01,258.33
2021-02-01,257.62
2021-03-01,294.53
2021-04-01,325.08
2021-05-01,328.73
2021-06-01,347.71
2021-07-01,356.3
2021-08-01,379.38
2021-09-01,339.39
2021-10-01,323.57
2021-11-01,324.46
2021-12-01,336.35
2022-01-01,313.26
2022-02-01,211.03
2022-03-01,222.36
2022-04-01,200.47
2022-05-01,193.64
2022-06-01,161.25
2022-07-01,159.1
2022-08-01,162.93
2022-09-01,135.68
2022-10-01,93.16
2022-11-01,118.1
2022-12-01,120.34
2023-01-01,148.97
2023-02-01,174.94
2023-03-01,211.94
2023-04-01,240.32
2023-05-01,264.72
2023-06-01,286.98
2023-07-01,318.6
2023-08-01,295.89
2023-09-01,300.21
2023-10-01,301.27
2023-11-01,327.15
2023-12-01,353.96
2024-01-01,390.14
2024-02-01,490.13
2024-03-01,485.58
2024-04-01,430.17
2024-05-01,466.83
2024-06-01,504.22
2024-07-01,474.83
2024-08-01,521.31
2024-09-01,572.44
2024-10-01,567.58
2024-11-01,574.32
2024-12-01,585.51
2025-01-01,689.18
2025-02-01,668.2
2025-03-01,576.36
2025-04-01,549.0
2025-05-01,647.49
2025-06-01,738.09
2025-07-01,773.44
2025-08-01,738.7
2025-09-01,734.38
2025-10-01,648.35
2025-11-01,647.95
2025-12-01,660.09
2026-01-01,716.5
2026-02-01,648.18
2026-03-01,572.13
2026-04-01,611.91
2026-05-01,632.51
2026-06-01,563.29
2026-07-01,556.71
2026-08-01,594.97
