Date,Close
2010-01-01,60.6
2010-02-01,63.16
2010-03-01,72.61
2010-04-01,72.43
2010-05-01,64.18
2010-06-01,62.75
2010-07-01,68.14
2010-08-01,61.13
2010-09-01,66.54
2010-10-01,70.64
2010-11-01,63.77
2010-12-01,65.26
2011-01-01,69.48
2011-02-01,72.01
2011-03-01,73.93
2011-04-01,79.78
2011-05-01,78.03
2011-06-01,73.93
2011-07-01,70.47
2011-08-01,66.86
2011-09-01,60.51
2011-10-01,65.79
2011-11-01,68.69
2011-12-01,73.35
2012-01-01,74.18
2012-02-01,74.95
2012-03-01,74.37
2012-04-01,76.8
2012-05-01,69.61
2012-06-01,74.3
2012-07-01,73.91
2012-08-01,71.4
2012-09-01,69.6
2012-10-01,70.44
2012-11-01,74.28
2012-12-01,75.36
2013-01-01,73.87
2013-02-01,76.9
2013-03-01,85.85
2013-04-01,91.41
2013-05-01,99.02
2013-06-01,102.44
2013-07-01,105.1
2013-08-01,103.92
2013-09-01,117.5
2013-10-01,130.5
2013-11-01,134.25
2013-12-01,136.49
2014-01-01,125.26
2014-02-01,128.92
2014-03-01,125.49
2014-04-01,129.02
2014-05-01,135.25
2014-06-01,127.23
2014-07-01,120.48
2014-08-01,126.8
2014-09-01,127.38
2014-10-01,124.91
2014-11-01,134.36
2014-12-01,129.98
2015-01-01,145.37
2015-02-01,150.85
2015-03-01,150.08
2015-04-01,143.34
2015-05-01,140.52
2015-06-01,138.72
2015-07-01,144.17
2015-08-01,130.68
2015-09-01,130.95
2015-10-01,148.07
2015-11-01,145.45
2015-12-01,144.59
2016-01-01,120.13
2016-02-01,118.18
2016-03-01,126.94
2016-04-01,134.8
2016-05-01,126.15
2016-06-01,129.87
2016-07-01,133.66
2016-08-01,129.45
2016-09-01,131.74
2016-10-01,142.43
2016-11-01,150.56
2016-12-01,155.68
2017-01-01,163.42
2017-02-01,180.23
2017-03-01,176.86
2017-04-01,184.83
2017-05-01,187.63
2017-06-01,197.75
2017-07-01,242.46
2017-08-01,239.66
2017-09-01,254.21
2017-10-01,257.98
2017-11-01,276.8
2017-12-01,294.91
2018-01-01,354.37
2018-02-01,362.21
2018-03-01,327.88
2018-04-01,333.56
2018-05-01,352.16
2018-06-01,335.51
2018-07-01,356.3
2018-08-01,342.79
2018-09-01,371.9
2018-10-01,354.86
2018-11-01,346.76
2018-12-01,322.5
2019-01-01,385.62
2019-02-01,439.96
2019-03-01,381.42
2019-04-01,377.69
2019-05-01,341.61
2019-06-01,364.01
2019-07-01,341.18
2019-08-01,364.09
2019-09-01,380.47
2019-10-01,339.91
2019-11-01,366.18
2019-12-01,325.76
2020-01-01,318.27
2020-02-01,275.11
2020-03-01,149.14
2020-04-01,141.02
2020-05-01,145.85
2020-06-01,183.3
2020-07-01,158.0
2020-08-01,171.82
2020-09-01,165.26
2020-10-01,144.39
2020-11-01,210.71
2020-12-01,214.06
2021-01-01,194.19
2021-02-01,212.01
2021-03-01,254.72
2021-04-01,234.31
2021-05-01,247.02
2021-06-01,239.56
2021-07-01,226.48
2021-08-01,219.5
2021-09-01,219.94
2021-10-01,207.03
2021-11-01,197.85
2021-12-01,201.32
2022-01-01,200.24
2022-02-01,205.34
2022-03-01,191.5
2022-04-01,148.84
2022-05-01,131.4
2022-06-01,136.72
2022-07-01,159.31
2022-08-01,160.25
2022-09-01,121.08
2022-10-01,142.51
2022-11-01,178.88
2022-12-01,190.49
2023-01-01,213.0
2023-02-01,201.55
2023-03-01,212.43
2023-04-01,206.78
2023-05-01,205.7
2023-06-01,211.16
2023-07-01,238.85
2023-08-01,224.03
2023-09-01,191.68
2023-10-01,186.82
2023-11-01,231.63
2023-12-01,260.66
2024-01-01,211.04
2024-02-01,203.72
2024-03-01,192.99
2024-04-01,167.84
2024-05-01,177.61
2024-06-01,182.01
2024-07-01,190.6
2024-08-01,173.74
2024-09-01,152.04
2024-10-01,149.31
2024-11-01,155.44
2024-12-01,177.0
2025-01-01,176.52
2025-02-01,174.63
2025-03-01,170.55
2025-04-01,183.24
2025-05-01,207.32
2025-06-01,209.53
2025-07-01,221.84
2025-08-01,234.68
2025-09-01,215.83
2025-10-01,201.02
2025-11-01,189.0
2025-12-01,217.12
2026-01-01,233.72
2026-02-01,227.53
2026-03-01,199.03
2026-04-01,229.03
2026-05-01,231.15
2026-06-01,216.47
2026-07-01,216.14
2026-08-01,230.33
